"Index","Name","Url","FinalGrade","FunctionalClass","ResultTiles","TestedCategory","NetworkClass1","Status1","NetworkClass2","Status2","FinalUrl","Error"
"1","腾讯漫画（正版）","https://m.ac.qq.com","可用","BrowseWorks","15","条漫","Reachable","200","Reachable","200","https://m.ac.qq.com/",""
"2","再漫画","https://manhua.zaimanhua.com","可用","BrowseWorks","20","最新更新","Dead","","Dead","","https://manhua.zaimanhua.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"3","漫漫漫画（正版）","https://m.manmanapp.com","可用","BrowseWorks","10","恋爱","Dead","","Dead","","https://m.manmanapp.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"4","漫漫漫画（PC）","https://www.manmanapp.com","可用","BrowseWorks","20","全部","Dead","","Dead","","https://www.manmanapp.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"5","爱奇艺漫画（正版）","https://www.iqiyi.com/manhua","部分可用","NoResultsOrError","0","最新更新","Reachable","302","Reachable","302","https://www.iqiyi.com/manhua",""
"6","Toptoon（正版）","https://www.toptoon.net","部分可用","NoResultsOrError","0","免费/特价","Reachable","200","Reachable","200","https://www.toptoon.net/",""
"7","搜漫","https://www.hisoman.com","可用","BrowseWorks","10","少女","Reachable","200","Reachable","200","https://www.hisoman.com/",""
"8","免费漫画全集（APP）","https://c.myshanxun.com","失效","NotTestedNoCategory","0","","Dead","","Dead","","https://c.myshanxun.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"9","极速漫画","http://m.1kkk.com","可用","BrowseWorks","20","全部","Reachable","200","Reachable","200","https://m.1kkk.com/",""
"10","极速漫画（PC）","http://www.1kkk.com","可用","BrowseWorks","20","全部","Reachable","200","Reachable","200","https://m.1kkk.com/",""
"11","漫画人","http://www.manhuaren.com","可用","BrowseWorks","20","热门","Reachable","200","Reachable","200","https://www.manhuaren.com/",""
"12","图库漫画","https://www.tuku.cc","可用","BrowseWorks","20","更新","Reachable","200","Reachable","200","https://www.tuku.cc/",""
"13","733动漫","https://73mh.app","可用","BrowseWorks","20","总点击","Blocked","","Blocked","","https://73mh.app","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""An error occurred while sending the request.""
 ---> System.Net.Http.HttpRequestException: An error occurred while sending the request.
 ---> System.Net.Http.HttpIOException: The response ended prematurely. (ResponseEnded)
   at System.Net.Http.HttpConnection.SendAsync(HttpRequestMessage request, Boolean async, CancellationToken cancellationToken)
   --- End of inner exception stack tr"
"14","布卡漫画","https://www.bukamh.com","可用","BrowseWorks","20","最新","Reachable","200","Reachable","200","https://www.bukamh.com/",""
"15","古风漫画","https://www.gfmh.app","可用","BrowseWorks","16","全部","Reachable","200","Reachable","200","https://www.gfmh.app/",""
"16","追漫画","http://www.ycymh.com","可用","BrowseWorks","20","更新","Reachable","200","Reachable","200","https://www.ycymh.com/",""
"17","KOLA漫画","https://www.kolamanga.com","可用","BrowseWorks","20","更新","Dead","","Dead","","https://www.kolamanga.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"18","OH漫画","https://www.ohmanhua.com","可用","BrowseWorks","20","更新","Reachable","302","Reachable","200","https://www.ohmanhua.com/",""
"19","漫蛙","https://manwaqj.cc","可用","BrowseWorks","15","更新","Reachable","200","Reachable","200","https://www.google.com/?v=",""
"20","漫蛙防走失","https://manwaqg.cc","可用","SearchWorks","25","真理面具","Reachable","200","Reachable","200","https://www.google.com/?v=",""
"21","漫蛙AI","https://manwa.me","可用","SearchWorks","25","真理面具","Blocked","403","Blocked","403","https://manwa.me/",""
"22","喵趣漫画","https://www.miaoqumh.org","可用","BrowseWorks","20","首页","Blocked","200","Blocked","200","https://www.miaoqumh.org/",""
"23","漫画之家","http://www.mhzj54.com","部分可用","NoResultsOrError","0","热血","Reachable","200","Reachable","200","http://www.mhzj54.com/",""
"24","七夕漫画","https://www.qiximanhua.com","可用","BrowseWorks","20","更新","Reachable","200","Reachable","200","https://www.qiximanhua.com/",""
"25","漫画星球","https://www.comichare.com","失效","NotTestedNoCategory","0","","Dead","","Dead","","https://www.comichare.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The SSL connection could not be established, see inner exception.""
 ---> System.Net.Http.HttpRequestException: The SSL connection could not be established, see inner exception.
 ---> System.IO.IOException: Received an unexpected EOF or 0 bytes from the transport stream.
   at System.Net.Security.SslStream.ReceiveHandshakeFrameAsync[TIOAdapter](CancellationToken cancellationToken)
   a"
"26","读漫屋","http://m.dumanwu1.com","可用","BrowseWorks","20","精品榜","Reachable","200","Reachable","200","http://m.dumanwu1.com/",""
"27","漫画客","http://yumanhua.com","可用","BrowseWorks","20","新漫画","Reachable","200","Reachable","200","http://yumanhua.com/",""
"28","仙漫画","https://m.xianmanwang.com","失效","NoResultsOrError","0","全部","Dead","","Dead","","https://m.xianmanwang.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: A task was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: A task was canceled.
   at System.Threading.Tasks."
"29","仙漫画（PC）","https://www.xianmanwang.com","部分可用","NoResultsOrError","0","全部","Blocked","403","Blocked","403","https://www.xianmanwang.com/",""
"30","野蛮漫画","https://yemancomic.com","可用","BrowseWorks","20","连载中","Blocked","403","Blocked","403","https://yemancomic.com/",""
"31","漫神漫画","https://m.mhkami.com","可用","BrowseWorks","20","连载中","Blocked","403","Blocked","403","https://m.mhkami.com/",""
"32","YYDS漫画","https://www.yydsmh.com","可用","BrowseWorks","20","连载中","Blocked","403","Blocked","403","https://www.yydsmh.com/",""
"33","次元漫画","https://2cycomic.com","部分可用","NoResultsOrError","0","连载中","Blocked","403","Blocked","403","https://2cycomic.com/",""
"34","番木瓜漫画","http://www.1fbm.com","失效","SkippedNetwork","0","连载中","Dead","","Dead","","http://www.1fbm.com","System.Management.Automation.MethodInvocationException: Exception calling ""GetResult"" with ""0"" argument(s): ""The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.""
 ---> System.Threading.Tasks.TaskCanceledException: The request was canceled due to the configured HttpClient.Timeout of 10 seconds elapsing.
 ---> System.TimeoutException: The operation was canceled.
 ---> System.Threading.Tasks.TaskCanceledException: The operation was canceled.
 ---> System.IO"
"35","艾米免费漫画","http://www.aymry.com","可用","BrowseWorks","20","连载中","Blocked","403","Blocked","403","http://www.aymry.com/",""
"36","CC178漫画","https://cc178.cn","部分可用","NoResultsOrError","0","连载中","Reachable","200","Reachable","200","https://cc178.cn/",""
"37","多漫吧","https://www.duomanba.com","部分可用","NoResultsOrError","0","总点击","Reachable","200","Reachable","200","https://aaabbb.72.chat/8d/?duomanba.com",""
"38","毒牙漫画","https://www.duya.cc","部分可用","NoResultsOrError","0","全部","Reachable","200","Reachable","200","https://www.duya.cc/",""
"39","羞羞漫画","http://www.xiuxmanhua.com","失效","SkippedNetwork","0","总点击","Dead","502","Dead","502","http://www.xiuxmanhua.com/",""
